Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
765445339	2	2	12	6	0.5	2	0	20	0	0.0	47	8	374	27	0.072192513369	51	10	406	33	0.0812807881773
765445352	10	0	110	0	0.0	7	0	115	0	0.0	32	0	364	1	0.00274725274725	49	0	589	1	0.00169779286927
765445365	34	0	191	2	0.0104712041885	13	0	74	1	0.0135135135135	33	0	217	0	0.0	80	0	482	3	0.00622406639004
765445377	14	0	100	0	0.0	13	0	87	0	0.0	39	0	309	1	0.00323624595469	66	0	496	1	0.00201612903226
765445389	2	0	56	0	0.0	4	0	95	1	0.0105263157895	21	0	354	4	0.0112994350282	27	0	505	5	0.00990099009901
765445402	12	0	78	0	0.0	4	0	15	0	0.0	37	0	197	0	0.0	53	0	290	0	0.0
765445415	10	0	55	1	0.0181818181818	15	0	103	0	0.0	41	0	346	5	0.014450867052	66	0	504	6	0.0119047619048
765445427	8	0	79	1	0.0126582278481	8	0	98	2	0.0204081632653	52	0	607	6	0.00988467874794	68	0	784	9	0.0114795918367
765445438	6	0	93	1	0.010752688172	7	0	98	0	0.0	45	0	557	3	0.00538599640934	58	0	748	4	0.00534759358289
765445451	8	5	85	71	0.835294117647	6	0	40	0	0.0	29	0	141	0	0.0	43	5	266	71	0.266917293233
765445464	9	7	59	57	0.966101694915	13	0	90	0	0.0	41	0	320	1	0.003125	63	7	469	58	0.123667377399
765445476	6	4	42	23	0.547619047619	12	0	93	0	0.0	41	0	333	2	0.00600600600601	59	4	468	25	0.0534188034188
765445488	10	8	108	71	0.657407407407	11	0	101	0	0.0	37	0	320	0	0.0	58	8	529	71	0.134215500945
765445503	6	0	82	1	0.0121951219512	4	0	22	0	0.0	32	0	272	0	0.0	42	0	376	1	0.00265957446809
765445515	5	2	50	26	0.52	13	0	153	1	0.00653594771242	22	0	251	1	0.00398406374502	40	2	454	28	0.0616740088106
765445528	14	14	151	139	0.920529801325	14	0	149	0	0.0	35	0	314	1	0.0031847133758	63	14	614	140	0.228013029316
765445542	6	4	98	44	0.448979591837	10	0	163	1	0.00613496932515	44	0	488	1	0.00204918032787	60	4	749	46	0.0614152202937
765445557	2	0	9	0	0.0	13	0	82	1	0.0121951219512	43	0	322	0	0.0	58	0	413	1	0.00242130750605
765445570	4	4	21	19	0.904761904762	12	0	89	0	0.0	34	0	222	2	0.00900900900901	50	4	332	21	0.0632530120482
765445583	6	4	36	26	0.722222222222	7	0	41	0	0.0	48	0	287	4	0.01393728223	61	4	364	30	0.0824175824176
765445595	8	0	68	0	0.0	8	0	63	1	0.015873015873	43	0	340	1	0.00294117647059	59	0	471	2	0.00424628450106
765445606	0	0	0	0	nan	3	0	12	0	0.0	39	0	124	1	0.00806451612903	42	0	136	1	0.00735294117647
765445618	6	0	69	1	0.0144927536232	10	0	95	1	0.0105263157895	29	0	337	3	0.00890207715134	45	0	501	5	0.00998003992016
765445631	4	0	21	0	0.0	12	0	71	0	0.0	29	0	195	1	0.00512820512821	45	0	287	1	0.00348432055749
765445642	14	10	111	64	0.576576576577	17	0	131	1	0.00763358778626	40	0	278	3	0.0107913669065	71	10	520	68	0.130769230769
