Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
ChrSy.fgenesh.gene.13	21	10	49	48	0.979591836735	10	6	28	20	0.714285714286	15	0	32	2	0.0625	46	16	109	70	0.642201834862
ChrSy.fgenesh.gene.1	40	20	149	146	0.979865771812	22	6	62	39	0.629032258065	40	0	92	13	0.141304347826	102	26	303	198	0.653465346535
ChrSy.fgenesh.gene.20	24	22	123	114	0.926829268293	20	12	96	49	0.510416666667	43	0	226	2	0.00884955752212	87	34	445	165	0.370786516854
ChrSy.fgenesh.gene.21	8	0	24	0	0.0	20	0	70	0	0.0	49	0	161	2	0.0124223602484	77	0	255	2	0.0078431372549
ChrSy.fgenesh.gene.25	14	0	35	0	0.0	12	0	31	0	0.0	53	0	128	2	0.015625	79	0	194	2	0.0103092783505
ChrSy.fgenesh.gene.2	0	0	0	0	nan	1	1	3	3	1.0	0	0	0	0	nan	1	1	3	3	1.0
ChrSy.fgenesh.gene.31	0	0	0	0	nan	0	0	0	0	nan	1	0	4	1	0.25	1	0	4	1	0.25
ChrSy.fgenesh.gene.32	7	5	21	17	0.809523809524	11	8	43	34	0.790697674419	40	1	166	7	0.0421686746988	58	14	230	58	0.252173913043
ChrSy.fgenesh.gene.33	1	0	3	0	0.0	0	0	0	0	nan	0	0	0	0	nan	1	0	3	0	0.0
ChrSy.fgenesh.gene.37	6	0	36	1	0.0277777777778	8	0	56	0	0.0	54	0	310	3	0.00967741935484	68	0	402	4	0.00995024875622
ChrSy.fgenesh.gene.3	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
ChrSy.fgenesh.gene.40	8	8	33	30	0.909090909091	6	2	18	9	0.5	8	0	23	0	0.0	22	10	74	39	0.527027027027
ChrSy.fgenesh.gene.41	27	0	78	1	0.0128205128205	20	0	56	1	0.0178571428571	43	0	131	0	0.0	90	0	265	2	0.00754716981132
ChrSy.fgenesh.gene.42	10	8	50	49	0.98	6	0	25	0	0.0	47	0	209	3	0.0143540669856	63	8	284	52	0.183098591549
ChrSy.fgenesh.gene.43	2	2	18	18	1.0	13	6	105	20	0.190476190476	46	0	345	4	0.0115942028986	61	8	468	42	0.0897435897436
ChrSy.fgenesh.gene.44	18	12	75	71	0.946666666667	12	2	58	10	0.172413793103	52	0	198	2	0.010101010101	82	14	331	83	0.250755287009
ChrSy.fgenesh.gene.45	16	14	75	72	0.96	25	18	104	89	0.855769230769	36	2	142	17	0.119718309859	77	34	321	178	0.554517133956
ChrSy.fgenesh.gene.46	1	1	5	5	1.0	0	0	0	0	nan	0	0	0	0	nan	1	1	5	5	1.0
ChrSy.fgenesh.gene.47	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
ChrSy.fgenesh.gene.48	11	2	17	16	0.941176470588	12	6	50	44	0.88	21	1	75	5	0.0666666666667	44	9	142	65	0.457746478873
ChrSy.fgenesh.gene.49	9	0	29	0	0.0	12	0	46	0	0.0	29	0	92	0	0.0	50	0	167	0	0.0
ChrSy.fgenesh.gene.4	9	0	13	10	0.769230769231	7	0	11	5	0.454545454545	19	0	24	3	0.125	35	0	48	18	0.375
ChrSy.fgenesh.gene.52	8	5	57	54	0.947368421053	9	3	60	16	0.266666666667	49	0	250	4	0.016	66	8	367	74	0.201634877384
