Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
Sobic.001G000200	4	0	46	2	0.0434782608696	6	0	65	1	0.0153846153846	41	0	498	1	0.00200803212851	51	0	609	4	0.00656814449918
Sobic.001G000300	26	26	199	191	0.959798994975	31	22	236	91	0.385593220339	40	0	307	1	0.00325732899023	97	48	742	283	0.381401617251
Sobic.001G000400	28	26	209	191	0.913875598086	43	23	307	93	0.302931596091	70	0	537	1	0.00186219739292	141	49	1053	285	0.270655270655
Sobic.001G000501	1	1	7	7	1.0	0	0	0	0	nan	0	0	0	0	nan	1	1	7	7	1.0
Sobic.001G000700	6	0	54	0	0.0	9	0	81	1	0.0123456790123	45	0	375	1	0.00266666666667	60	0	510	2	0.00392156862745
Sobic.001G000800	6	0	44	0	0.0	20	0	142	0	0.0	48	0	319	2	0.00626959247649	74	0	505	2	0.0039603960396
Sobic.001G000900	22	0	98	1	0.0102040816327	19	0	78	0	0.0	40	0	178	0	0.0	81	0	354	1	0.00282485875706
Sobic.001G001200	4	1	42	15	0.357142857143	20	0	185	2	0.0108108108108	42	0	422	1	0.00236966824645	66	1	649	18	0.0277349768875
Sobic.001G001300	4	0	32	0	0.0	0	0	0	0	nan	14	0	150	0	0.0	18	0	182	0	0.0
Sobic.001G001400	4	2	44	26	0.590909090909	9	0	123	1	0.00813008130081	42	0	483	1	0.00207039337474	55	2	650	28	0.0430769230769
Sobic.001G001700	22	0	149	1	0.00671140939597	22	0	147	0	0.0	42	0	320	2	0.00625	86	0	616	3	0.00487012987013
Sobic.001G001800	33	0	160	1	0.00625	26	0	132	0	0.0	75	0	378	0	0.0	134	0	670	1	0.00149253731343
Sobic.001G001900	5	0	25	0	0.0	19	0	95	0	0.0	28	0	148	0	0.0	52	0	268	0	0.0
Sobic.001G002000	20	0	105	2	0.0190476190476	40	0	194	0	0.0	36	0	179	0	0.0	96	0	478	2	0.00418410041841
Sobic.001G002050	34	22	133	120	0.902255639098	29	0	129	0	0.0	41	0	171	1	0.00584795321637	104	22	433	121	0.279445727483
Sobic.001G002200	30	16	162	151	0.932098765432	21	7	91	40	0.43956043956	40	0	154	4	0.025974025974	91	23	407	195	0.479115479115
Sobic.001G002300	9	0	31	0	0.0	14	0	41	0	0.0	24	0	62	0	0.0	47	0	134	0	0.0
Sobic.001G002400	4	0	31	0	0.0	23	0	191	1	0.00523560209424	50	0	427	3	0.00702576112412	77	0	649	4	0.00616332819723
Sobic.001G002500	9	0	23	0	0.0	13	0	38	0	0.0	54	0	190	0	0.0	76	0	251	0	0.0
Sobic.001G002600	8	8	73	65	0.890410958904	10	0	88	0	0.0	47	1	380	3	0.00789473684211	65	9	541	68	0.125693160813
Sobic.001G002650	27	21	114	100	0.877192982456	14	6	64	26	0.40625	33	0	135	3	0.0222222222222	74	27	313	129	0.41214057508
Sobic.001G002700	12	0	58	1	0.0172413793103	23	0	89	1	0.0112359550562	45	0	170	0	0.0	80	0	317	2	0.00630914826498
Sobic.001G002800	10	0	72	1	0.0138888888889	22	0	188	1	0.00531914893617	47	1	384	4	0.0104166666667	79	1	644	6	0.00931677018634
Sobic.001G002900	8	7	49	48	0.979591836735	6	3	40	16	0.4	25	0	79	0	0.0	39	10	168	64	0.380952380952
Sobic.001G003000	10	0	39	0	0.0	6	0	36	0	0.0	45	0	195	0	0.0	61	0	270	0	0.0
Sobic.001G003100	19	0	84	0	0.0	21	0	76	0	0.0	43	0	141	0	0.0	83	0	301	0	0.0
Sobic.001G003300	36	0	142	0	0.0	42	0	145	1	0.00689655172414	94	0	227	0	0.0	172	0	514	1	0.00194552529183
Sobic.001G003400	30	0	130	0	0.0	23	0	112	1	0.00892857142857	36	0	110	0	0.0	89	0	352	1	0.00284090909091
Sobic.001G003500	32	0	118	0	0.0	20	0	70	0	0.0	48	0	118	0	0.0	100	0	306	0	0.0
Sobic.001G003600	14	0	75	0	0.0	21	0	108	0	0.0	37	0	205	1	0.00487804878049	72	0	388	1	0.00257731958763
Sobic.001G004000	0	0	0	0	nan	0	0	0	0	nan	1	0	3	0	0.0	1	0	3	0	0.0
Sobic.001G004100	6	3	70	15	0.214285714286	16	0	182	1	0.00549450549451	45	0	475	3	0.00631578947368	67	3	727	19	0.0261348005502
Sobic.001G004200	6	6	72	67	0.930555555556	3	1	29	3	0.103448275862	48	2	565	13	0.0230088495575	57	9	666	83	0.124624624625
Sobic.001G004300	17	0	155	3	0.0193548387097	4	0	35	0	0.0	10	0	60	0	0.0	31	0	250	3	0.012
Sobic.001G004400	40	0	216	1	0.00462962962963	27	0	119	0	0.0	43	0	170	1	0.00588235294118	110	0	505	2	0.0039603960396
