Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
572328413	2	0	28	1	0.0357142857143	2	0	20	0	0.0	42	1	633	6	0.00947867298578	46	1	681	7	0.0102790014684
572328418	8	0	8	5	0.625	8	0	8	4	0.5	44	0	46	0	0.0	60	0	62	9	0.145161290323
572328425	2	2	10	6	0.6	11	0	34	0	0.0	30	0	43	0	0.0	43	2	87	6	0.0689655172414
572328470	3	1	11	5	0.454545454545	9	0	29	1	0.0344827586207	17	0	52	0	0.0	29	1	92	6	0.0652173913043
572328481	4	0	13	0	0.0	6	0	15	0	0.0	20	0	66	0	0.0	30	0	94	0	0.0
572328502	5	0	155	0	0.0	3	0	98	0	0.0	15	0	365	1	0.0027397260274	23	0	618	1	0.00161812297735
572328551	5	0	5	2	0.4	1	0	1	1	1.0	12	0	12	1	0.0833333333333	18	0	18	4	0.222222222222
572328558	8	0	139	1	0.00719424460432	2	0	18	0	0.0	46	0	475	2	0.00421052631579	56	0	632	3	0.00474683544304
572328565	10	0	79	0	0.0	3	0	24	0	0.0	26	0	212	0	0.0	39	0	315	0	0.0
572328575	2	1	7	6	0.857142857143	4	0	14	0	0.0	20	0	65	1	0.0153846153846	26	1	86	7	0.0813953488372
572328582	5	0	21	0	0.0	7	0	34	0	0.0	28	0	110	0	0.0	40	0	165	0	0.0
572328583	6	2	14	14	1.0	7	2	16	14	0.875	17	2	39	13	0.333333333333	30	6	69	41	0.594202898551
572328609	8	0	13	13	1.0	15	0	23	0	0.0	45	0	69	0	0.0	68	0	105	13	0.12380952381
572328646	12	0	18	16	0.888888888889	10	0	15	0	0.0	37	0	61	1	0.016393442623	59	0	94	17	0.18085106383
572328648	6	0	9	8	0.888888888889	7	0	10	0	0.0	48	0	70	0	0.0	61	0	89	8	0.0898876404494
572328655	2	1	10	3	0.3	7	0	35	0	0.0	19	0	77	0	0.0	28	1	122	3	0.0245901639344
572328656	12	0	44	0	0.0	13	0	54	0	0.0	32	0	174	0	0.0	57	0	272	0	0.0
572328664	2	0	2	2	1.0	7	0	11	0	0.0	20	0	33	0	0.0	29	0	46	2	0.0434782608696
572328665	18	0	102	1	0.00980392156863	14	0	78	2	0.025641025641	32	0	165	1	0.00606060606061	64	0	345	4	0.0115942028986
572328667	0	0	0	0	nan	4	0	7	0	0.0	40	0	72	0	0.0	44	0	79	0	0.0
572328678	2	0	2	0	0.0	7	0	12	0	0.0	19	0	37	0	0.0	28	0	51	0	0.0
572328680	2	0	7	0	0.0	6	0	25	0	0.0	8	0	38	0	0.0	16	0	70	0	0.0
572328689	6	3	12	11	0.916666666667	9	0	18	1	0.0555555555556	43	0	93	0	0.0	58	3	123	12	0.0975609756098
572328690	0	0	0	0	nan	8	0	32	1	0.03125	36	0	173	2	0.0115606936416	44	0	205	3	0.0146341463415
572328706	6	0	108	2	0.0185185185185	5	0	69	0	0.0	28	0	531	2	0.00376647834275	39	0	708	4	0.00564971751412
572328710	10	0	59	1	0.0169491525424	2	0	15	0	0.0	34	0	160	0	0.0	46	0	234	1	0.0042735042735
572328724	4	0	7	4	0.571428571429	12	0	19	0	0.0	31	0	59	0	0.0	47	0	85	4	0.0470588235294
572328730	8	0	18	0	0.0	13	0	31	0	0.0	38	0	91	0	0.0	59	0	140	0	0.0
572328818	3	0	3	3	1.0	1	0	1	0	0.0	10	0	10	1	0.1	14	0	14	4	0.285714285714
572328820	6	0	27	0	0.0	6	0	21	0	0.0	49	0	247	1	0.00404858299595	61	0	295	1	0.00338983050847
572328834	10	0	45	1	0.0222222222222	9	0	48	0	0.0	46	0	242	1	0.00413223140496	65	0	335	2	0.00597014925373
572328846	10	0	315	1	0.0031746031746	4	0	153	1	0.00653594771242	25	0	386	3	0.00777202072539	39	0	854	5	0.00585480093677
572328857	2	0	31	0	0.0	10	0	146	0	0.0	30	0	457	4	0.00875273522976	42	0	634	4	0.00630914826498
572328861	4	0	76	0	0.0	7	0	117	1	0.00854700854701	49	0	862	9	0.0104408352668	60	0	1055	10	0.00947867298578
572328864	6	6	24	22	0.916666666667	10	0	45	1	0.0222222222222	46	0	202	1	0.0049504950495	62	6	271	24	0.0885608856089
572328872	5	3	22	15	0.681818181818	13	0	55	0	0.0	40	0	98	1	0.0102040816327	58	3	175	16	0.0914285714286
572328873	10	0	279	1	0.00358422939068	2	0	56	0	0.0	32	0	640	8	0.0125	44	0	975	9	0.00923076923077
572328890	6	0	120	1	0.00833333333333	13	1	233	4	0.0171673819742	37	0	730	7	0.00958904109589	56	1	1083	12	0.01108033241
572328963	10	4	98	25	0.255102040816	4	0	17	1	0.0588235294118	37	4	345	22	0.063768115942	51	8	460	48	0.104347826087
572328991	12	3	33	15	0.454545454545	19	0	55	1	0.0181818181818	37	0	105	0	0.0	68	3	193	16	0.0829015544041
572329035	3	0	7	0	0.0	5	0	13	0	0.0	26	0	82	1	0.0121951219512	34	0	102	1	0.00980392156863
572329060	16	0	29	0	0.0	7	0	12	0	0.0	42	0	70	0	0.0	65	0	111	0	0.0
572329064	5	0	5	0	0.0	8	0	8	0	0.0	25	0	25	0	0.0	38	0	38	0	0.0
572329069	0	0	0	0	nan	1	0	1	0	0.0	10	0	10	0	0.0	11	0	11	0	0.0
572329192	8	0	23	0	0.0	5	0	16	0	0.0	29	0	115	0	0.0	42	0	154	0	0.0
572329194	6	0	11	0	0.0	6	0	10	0	0.0	15	0	30	0	0.0	27	0	51	0	0.0
572329200	26	0	970	10	0.0103092783505	12	0	429	2	0.004662004662	42	0	1498	8	0.00534045393858	80	0	2897	20	0.00690369347601
572329210	2	2	65	43	0.661538461538	0	0	0	0	nan	43	10	1405	60	0.0427046263345	45	12	1470	103	0.0700680272109
572329240	10	0	90	0	0.0	5	0	49	0	0.0	49	0	496	1	0.00201612903226	64	0	635	1	0.00157480314961
572329250	14	0	876	3	0.00342465753425	16	0	968	1	0.00103305785124	48	0	2976	14	0.00470430107527	78	0	4820	18	0.00373443983402
572329286	12	0	458	2	0.00436681222707	7	0	268	0	0.0	58	0	2244	9	0.00401069518717	77	0	2970	11	0.0037037037037
572329290	6	0	11	0	0.0	3	0	6	0	0.0	33	0	48	1	0.0208333333333	42	0	65	1	0.0153846153846
572329300	7	0	60	1	0.0166666666667	18	0	134	0	0.0	30	0	219	1	0.00456621004566	55	0	413	2	0.00484261501211
572329333	2	0	2	0	0.0	4	0	4	0	0.0	21	0	21	0	0.0	27	0	27	0	0.0
572329346	14	14	265	242	0.91320754717	6	6	103	75	0.728155339806	29	15	690	81	0.117391304348	49	35	1058	398	0.37618147448
572329389	26	0	150	2	0.0133333333333	16	0	94	1	0.0106382978723	28	0	142	0	0.0	70	0	386	3	0.00777202072539
572329435	0	0	0	0	nan	2	0	9	0	0.0	30	0	134	2	0.0149253731343	32	0	143	2	0.013986013986
572329469	0	0	0	0	nan	0	0	0	0	nan	30	0	853	1	0.00117233294256	30	0	853	1	0.00117233294256
572329476	5	3	12	12	1.0	13	0	29	0	0.0	28	0	57	1	0.0175438596491	46	3	98	13	0.132653061224
572329517	10	10	76	63	0.828947368421	3	2	23	19	0.826086956522	39	2	214	10	0.0467289719626	52	14	313	92	0.29392971246
