Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
GSVIVG01000001001	4	3	39	20	0.512820512821	8	6	67	47	0.701492537313	51	4	456	11	0.0241228070175	63	13	562	78	0.138790035587
GSVIVG01000002001	6	6	47	24	0.510638297872	14	0	122	1	0.00819672131148	47	0	420	2	0.0047619047619	67	6	589	27	0.0458404074703
GSVIVG01000003001	4	4	18	16	0.888888888889	21	1	145	9	0.0620689655172	38	0	269	1	0.00371747211896	63	5	432	26	0.0601851851852
GSVIVG01000004001	4	0	31	0	0.0	7	0	44	1	0.0227272727273	19	0	84	0	0.0	30	0	159	1	0.0062893081761
GSVIVG01000005001	4	2	41	15	0.365853658537	23	0	234	0	0.0	40	0	394	2	0.00507614213198	67	2	669	17	0.0254110612855
GSVIVG01000006001	5	4	32	30	0.9375	9	0	40	0	0.0	45	0	244	3	0.0122950819672	59	4	316	33	0.104430379747
GSVIVG01000007001	0	0	0	0	nan	18	0	89	0	0.0	48	0	179	0	0.0	66	0	268	0	0.0
GSVIVG01000008001	4	0	7	0	0.0	2	0	3	0	0.0	43	0	204	0	0.0	49	0	214	0	0.0
GSVIVG01000009001	6	2	56	4	0.0714285714286	13	0	134	0	0.0	47	0	420	0	0.0	66	2	610	4	0.00655737704918
GSVIVG01000012001	0	0	0	0	nan	14	0	120	0	0.0	43	0	395	2	0.00506329113924	57	0	515	2	0.00388349514563
GSVIVG01000016001	0	0	0	0	nan	2	0	4	0	0.0	8	0	12	0	0.0	10	0	16	0	0.0
GSVIVG01000017001	4	4	26	13	0.5	22	0	177	1	0.00564971751412	44	0	380	0	0.0	70	4	583	14	0.0240137221269
GSVIVG01000019001	4	3	13	13	1.0	9	0	37	1	0.027027027027	30	0	77	0	0.0	43	3	127	14	0.110236220472
GSVIVG01000020001	34	0	169	0	0.0	14	0	92	0	0.0	37	0	184	1	0.0054347826087	85	0	445	1	0.00224719101124
GSVIVG01000021001	0	0	0	0	nan	8	0	45	0	0.0	39	0	162	0	0.0	47	0	207	0	0.0
GSVIVG01000023001	24	0	98	0	0.0	18	0	84	1	0.0119047619048	52	0	192	0	0.0	94	0	374	1	0.00267379679144
GSVIVG01000024001	15	0	35	0	0.0	11	0	20	0	0.0	40	0	71	1	0.0140845070423	66	0	126	1	0.00793650793651
GSVIVG01000025001	2	2	17	14	0.823529411765	8	0	65	2	0.0307692307692	39	0	305	1	0.00327868852459	49	2	387	17	0.0439276485788
GSVIVG01000026001	10	0	61	1	0.016393442623	8	0	33	0	0.0	91	0	211	2	0.00947867298578	109	0	305	3	0.00983606557377
GSVIVG01000030001	6	4	47	30	0.63829787234	10	0	89	1	0.0112359550562	44	0	396	0	0.0	60	4	532	31	0.0582706766917
GSVIVG01000033001	0	0	0	0	nan	0	0	0	0	nan	1	0	4	0	0.0	1	0	4	0	0.0
GSVIVG01000034001	4	1	15	7	0.466666666667	16	0	94	0	0.0	45	0	232	1	0.00431034482759	65	1	341	8	0.0234604105572
GSVIVG01000036001	2	0	6	0	0.0	9	0	29	0	0.0	10	0	37	0	0.0	21	0	72	0	0.0
GSVIVG01000037001	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
GSVIVG01000038001	0	0	0	0	nan	3	0	14	0	0.0	40	0	184	2	0.0108695652174	43	0	198	2	0.010101010101
GSVIVG01000039001	2	0	5	0	0.0	3	0	10	0	0.0	7	0	25	0	0.0	12	0	40	0	0.0
GSVIVG01000040001	0	0	0	0	nan	0	0	0	0	nan	1	0	5	0	0.0	1	0	5	0	0.0
GSVIVG01000041001	8	0	20	0	0.0	9	0	31	1	0.0322580645161	54	0	177	0	0.0	71	0	228	1	0.00438596491228
GSVIVG01000042001	6	1	34	5	0.147058823529	21	0	140	0	0.0	42	0	235	1	0.00425531914894	69	1	409	6	0.0146699266504
GSVIVG01000043001	2	1	6	5	0.833333333333	14	0	82	0	0.0	50	0	249	0	0.0	66	1	337	5	0.0148367952522
GSVIVG01000045001	8	0	34	0	0.0	20	0	80	0	0.0	36	0	139	0	0.0	64	0	253	0	0.0
GSVIVG01000047001	2	0	10	0	0.0	2	0	10	0	0.0	35	0	91	0	0.0	39	0	111	0	0.0
GSVIVG01000048001	2	0	19	0	0.0	8	0	56	0	0.0	39	0	339	1	0.00294985250737	49	0	414	1	0.0024154589372
GSVIVG01000050001	0	0	0	0	nan	9	0	30	0	0.0	26	0	98	0	0.0	35	0	128	0	0.0
