Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
GSVIVG01000001001	22	5	219	35	0.159817351598	18	8	159	61	0.383647798742	112	5	842	15	0.0178147268409	152	18	1220	111	0.0909836065574
GSVIVG01000002001	63	24	378	95	0.251322751323	127	0	900	2	0.00222222222222	503	0	3348	8	0.00238948626045	693	24	4626	105	0.0226977950713
GSVIVG01000003001	18	8	78	49	0.628205128205	56	1	308	8	0.025974025974	123	0	653	3	0.00459418070444	197	9	1039	60	0.0577478344562
GSVIVG01000004001	18	6	150	41	0.273333333333	77	0	606	2	0.003300330033	297	0	2079	6	0.002886002886	392	6	2835	49	0.0172839506173
GSVIVG01000005001	6	2	52	15	0.288461538462	36	0	327	1	0.00305810397554	106	0	921	5	0.00542888165038	148	2	1300	21	0.0161538461538
GSVIVG01000006001	29	9	230	70	0.304347826087	61	0	471	1	0.00212314225053	212	0	1668	6	0.00359712230216	302	9	2369	77	0.0325031658928
GSVIVG01000007001	41	0	198	0	0.0	113	0	609	1	0.00164203612479	356	0	1654	1	0.000604594921403	510	0	2461	2	0.000812677773263
GSVIVG01000008001	38	8	255	50	0.196078431373	100	0	716	0	0.0	401	0	2916	8	0.00274348422497	539	8	3887	58	0.0149215333162
GSVIVG01000009001	98	62	793	533	0.672131147541	247	5	2219	31	0.0139702568725	924	2	8048	34	0.00422465208748	1269	69	11060	598	0.054068716094
GSVIVG01000010001	10	0	80	0	0.0	9	0	84	0	0.0	72	0	809	2	0.00247218788628	91	0	973	2	0.00205549845838
GSVIVG01000012001	54	0	265	1	0.00377358490566	90	0	554	2	0.00361010830325	323	0	1864	5	0.00268240343348	467	0	2683	8	0.00298173686172
GSVIVG01000015001	236	0	866	0	0.0	160	0	630	0	0.0	310	0	1097	1	0.000911577028259	706	0	2593	1	0.000385653682993
GSVIVG01000016001	38	24	207	139	0.671497584541	81	1	499	6	0.0120240480962	304	0	1631	2	0.00122624156959	423	25	2337	147	0.0629011553273
GSVIVG01000017001	46	4	313	13	0.0415335463259	121	0	907	4	0.00441014332966	446	0	3006	9	0.00299401197605	613	4	4226	26	0.00615238996687
GSVIVG01000019001	10	8	64	60	0.9375	35	0	249	1	0.00401606425703	142	0	893	1	0.00111982082867	187	8	1206	62	0.0514096185738
GSVIVG01000020001	34	27	250	159	0.636	61	0	456	2	0.00438596491228	244	0	1750	12	0.00685714285714	339	27	2456	173	0.0704397394137
GSVIVG01000021001	0	0	0	0	nan	32	0	156	0	0.0	124	0	604	1	0.00165562913907	156	0	760	1	0.00131578947368
GSVIVG01000023001	26	0	109	1	0.00917431192661	23	0	112	1	0.00892857142857	136	0	535	2	0.00373831775701	185	0	756	4	0.00529100529101
GSVIVG01000024001	20	10	110	73	0.663636363636	47	0	367	0	0.0	135	0	913	1	0.00109529025192	202	10	1390	74	0.0532374100719
