Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
Potri.001G000100	8	8	79	74	0.936708860759	12	12	117	108	0.923076923077	49	18	533	91	0.170731707317	69	38	729	273	0.374485596708
Potri.001G000200	8	8	77	76	0.987012987013	13	13	122	113	0.926229508197	41	11	374	50	0.133689839572	62	32	573	239	0.417102966841
Potri.001G000300	0	0	0	0	nan	12	0	181	0	0.0	43	0	671	0	0.0	55	0	852	0	0.0
Potri.001G000400	10	10	95	73	0.768421052632	18	0	248	0	0.0	85	0	1158	2	0.00172711571675	113	10	1501	75	0.0499666888741
Potri.001G000500	0	0	0	0	nan	12	0	103	0	0.0	59	0	562	2	0.00355871886121	71	0	665	2	0.00300751879699
Potri.001G000600	0	0	0	0	nan	0	0	0	0	nan	1	0	3	0	0.0	1	0	3	0	0.0
Potri.001G000700	6	1	54	7	0.12962962963	11	0	98	0	0.0	46	0	414	0	0.0	63	1	566	7	0.0123674911661
Potri.001G000800	2	0	31	0	0.0	8	0	129	0	0.0	45	1	781	4	0.00512163892446	55	1	941	4	0.00425079702444
Potri.001G000900	2	2	8	5	0.625	20	2	205	8	0.0390243902439	106	0	1112	2	0.00179856115108	128	4	1325	15	0.011320754717
Potri.001G001000	0	0	0	0	nan	0	0	0	0	nan	1	0	17	0	0.0	1	0	17	0	0.0
Potri.001G001100	2	0	30	0	0.0	4	0	63	0	0.0	46	0	535	0	0.0	52	0	628	0	0.0
Potri.001G001300	2	0	26	1	0.0384615384615	29	0	365	0	0.0	98	0	1306	1	0.000765696784074	129	0	1697	2	0.00117855038303
Potri.001G001400	5	0	13	0	0.0	2	0	5	0	0.0	25	0	62	1	0.0161290322581	32	0	80	1	0.0125
Potri.001G001500	0	0	0	0	nan	6	0	77	0	0.0	48	0	444	2	0.0045045045045	54	0	521	2	0.00383877159309
Potri.001G001600	4	2	20	4	0.2	19	0	99	1	0.010101010101	49	0	282	2	0.00709219858156	72	2	401	7	0.0174563591022
Potri.001G001700	2	2	19	8	0.421052631579	11	0	107	1	0.00934579439252	38	0	387	1	0.00258397932817	51	2	513	10	0.0194931773879
Potri.001G001800	11	0	94	1	0.0106382978723	6	0	45	0	0.0	35	0	247	0	0.0	52	0	386	1	0.00259067357513
Potri.001G001900	11	0	94	1	0.0106382978723	6	0	45	0	0.0	34	0	239	0	0.0	51	0	378	1	0.0026455026455
Potri.001G002000	2	2	32	19	0.59375	8	0	116	1	0.00862068965517	42	0	535	1	0.0018691588785	52	2	683	21	0.0307467057101
